sample	strainID	genus	species	count
04CYB	HAMBI-1842	Sphingobium	yanoikuyae	0
04CYB	HAMBI-1874	Sphingobacterium	multivorum	2
04CYB	HAMBI-1896	Sphingobacterium	spiritivorum	31
04CYB	HAMBI-1923	Myroides	odoratus	6906
04CYB	HAMBI-1966	Chitinophaga	filiformis	0
04CYB	HAMBI-1972	Aeromonas	caviae	34251
04CYB	HAMBI-1988	Chitinophaga	sancti	2
04CYB	HAMBI-1992	Phyllobacterium	myrsinacearum	177
04CYB	HAMBI-2159	Paraburkholderia	caryophylli	20
04CYB	HAMBI-2160	Bordetella	avium	604
04CYB	HAMBI-2164	Cupriavidus	necator	291
04CYB	HAMBI-2443	Paracoccus	denitrificans	1
04CYB	HAMBI-2467	Thermomonas	haemolytica	3
04CYB	HAMBI-2494	Paraburkholderia	kururiensis	230
04CYB	HAMBI-2659	Stenotrophomonas	maltophilia	10349
04CYB	HAMBI-2792	Moraxella	canis	21
04CYB	HAMBI-3031	Niabella	yanshanensis	0
04CYB	HAMBI-3172	Azospirillum	brasilense	43
04CYB	HAMBI-3237	Microvirga	lotononidis	6
04CYB	JE2571RP4	Escherichia	coli	19
04CYB	PsFluSBW25	Pseudomonas	fluorescens	2172
04CYC	HAMBI-0097	Acinetobacter	lwoffii	3
04CYC	HAMBI-0105	Agrobacterium	tumefaciens	1492
04CYC	HAMBI-0216	Azorhizobium	caulinodans	5
04CYC	HAMBI-0262	Brevundimonas	bullata	4
04CYC	HAMBI-0403	Comamonas	testosteroni	301
04CYC	HAMBI-1279	Hafnia	alvei	768
04CYC	HAMBI-1287	Citrobacter	koseri	93913
04CYC	HAMBI-1292	Morganella	morganii	7266
04CYC	HAMBI-1299	Kluyvera	intermedia	4618
04CYC	HAMBI-1842	Sphingobium	yanoikuyae	0
04CYC	HAMBI-1874	Sphingobacterium	multivorum	0
04CYC	HAMBI-1896	Sphingobacterium	spiritivorum	1476
04CYC	HAMBI-1923	Myroides	odoratus	1357
04CYC	HAMBI-1966	Chitinophaga	filiformis	0
04CYC	HAMBI-1972	Aeromonas	caviae	223
04CYC	HAMBI-1988	Chitinophaga	sancti	0
04CYC	HAMBI-1992	Phyllobacterium	myrsinacearum	550
04CYC	HAMBI-2159	Paraburkholderia	caryophylli	9
04CYC	HAMBI-2160	Bordetella	avium	1212
04CYC	HAMBI-2164	Cupriavidus	necator	113
04CYC	HAMBI-2443	Paracoccus	denitrificans	0
04CYC	HAMBI-2467	Thermomonas	haemolytica	0
04CYC	HAMBI-2494	Paraburkholderia	kururiensis	212
04CYC	HAMBI-2659	Stenotrophomonas	maltophilia	9229
04CYC	HAMBI-2792	Moraxella	canis	0
04CYC	HAMBI-3031	Niabella	yanshanensis	1
04CYC	HAMBI-3172	Azospirillum	brasilense	1
04CYC	HAMBI-3237	Microvirga	lotononidis	3
04CYC	JE2571RP4	Escherichia	coli	3
04CYC	PsFluSBW25	Pseudomonas	fluorescens	1417
41ANA	HAMBI-0097	Acinetobacter	lwoffii	65
41ANA	HAMBI-0105	Agrobacterium	tumefaciens	915
41ANA	HAMBI-0216	Azorhizobium	caulinodans	13
41ANA	HAMBI-0262	Brevundimonas	bullata	13
41ANA	HAMBI-0403	Comamonas	testosteroni	740
41ANA	HAMBI-1279	Hafnia	alvei	1622
41ANA	HAMBI-1287	Citrobacter	koseri	33679
41ANA	HAMBI-1292	Morganella	morganii	103
41ANA	HAMBI-1299	Kluyvera	intermedia	3771
41ANA	HAMBI-1842	Sphingobium	yanoikuyae	0
41ANA	HAMBI-1874	Sphingobacterium	multivorum	1
41ANA	HAMBI-1896	Sphingobacterium	spiritivorum	1427
41ANA	HAMBI-1923	Myroides	odoratus	2845
41ANA	HAMBI-1966	Chitinophaga	filiformis	2
41ANA	HAMBI-1972	Aeromonas	caviae	18511
41ANA	HAMBI-1988	Chitinophaga	sancti	2
41ANA	HAMBI-1992	Phyllobacterium	myrsinacearum	490
41ANA	HAMBI-2159	Paraburkholderia	caryophylli	17
41ANA	HAMBI-2160	Bordetella	avium	454
41ANA	HAMBI-2164	Cupriavidus	necator	175
41ANA	HAMBI-2443	Paracoccus	denitrificans	0
41ANA	HAMBI-2467	Thermomonas	haemolytica	0
41ANA	HAMBI-2494	Paraburkholderia	kururiensis	262
41ANA	HAMBI-2659	Stenotrophomonas	maltophilia	1802
41ANA	HAMBI-2792	Moraxella	canis	6
41ANA	HAMBI-3031	Niabella	yanshanensis	126
41ANA	HAMBI-3172	Azospirillum	brasilense	173
41ANA	HAMBI-3237	Microvirga	lotononidis	4
41ANA	JE2571RP4	Escherichia	coli	9
41ANA	PsFluSBW25	Pseudomonas	fluorescens	637
41ANB	HAMBI-0097	Acinetobacter	lwoffii	78
41ANB	HAMBI-0105	Agrobacterium	tumefaciens	1597
41ANB	HAMBI-0216	Azorhizobium	caulinodans	16
41ANB	HAMBI-0262	Brevundimonas	bullata	17
41ANB	HAMBI-0403	Comamonas	testosteroni	411
41ANB	HAMBI-1279	Hafnia	alvei	1417
41ANB	HAMBI-1287	Citrobacter	koseri	28133
41ANB	HAMBI-1292	Morganella	morganii	84
41ANB	HAMBI-1299	Kluyvera	intermedia	3069
41ANB	HAMBI-1842	Sphingobium	yanoikuyae	1
41ANB	HAMBI-1874	Sphingobacterium	multivorum	11
41ANB	HAMBI-1896	Sphingobacterium	spiritivorum	1175
41ANB	HAMBI-1923	Myroides	odoratus	2585
41ANB	HAMBI-1966	Chitinophaga	filiformis	1
41ANB	HAMBI-1972	Aeromonas	caviae	16132
41ANB	HAMBI-1988	Chitinophaga	sancti	0
41ANB	HAMBI-1992	Phyllobacterium	myrsinacearum	356
41ANB	HAMBI-2159	Paraburkholderia	caryophylli	21
41ANB	HAMBI-2160	Bordetella	avium	347
41ANB	HAMBI-2164	Cupriavidus	necator	218
41ANB	HAMBI-2443	Paracoccus	denitrificans	0
41ANB	HAMBI-2467	Thermomonas	haemolytica	0
41ANB	HAMBI-2494	Paraburkholderia	kururiensis	224
41ANB	HAMBI-2659	Stenotrophomonas	maltophilia	1463
41ANB	HAMBI-2792	Moraxella	canis	6
41ANB	HAMBI-3031	Niabella	yanshanensis	0
41ANB	HAMBI-3172	Azospirillum	brasilense	137
41ANB	HAMBI-3237	Microvirga	lotononidis	3
41ANB	JE2571RP4	Escherichia	coli	8
41ANB	PsFluSBW25	Pseudomonas	fluorescens	431
41ANC	HAMBI-0097	Acinetobacter	lwoffii	96
41ANC	HAMBI-0105	Agrobacterium	tumefaciens	1504
41ANC	HAMBI-0216	Azorhizobium	caulinodans	13
41ANC	HAMBI-0262	Brevundimonas	bullata	26
41ANC	HAMBI-0403	Comamonas	testosteroni	565
41ANC	HAMBI-1279	Hafnia	alvei	1520
41ANC	HAMBI-1287	Citrobacter	koseri	43982
41ANC	HAMBI-1292	Morganella	morganii	117
41ANC	HAMBI-1299	Kluyvera	intermedia	4543
41ANC	HAMBI-1842	Sphingobium	yanoikuyae	1
41ANC	HAMBI-1874	Sphingobacterium	multivorum	2
41ANC	HAMBI-1896	Sphingobacterium	spiritivorum	1513
41ANC	HAMBI-1923	Myroides	odoratus	2294
41ANC	HAMBI-1966	Chitinophaga	filiformis	1
41ANC	HAMBI-1972	Aeromonas	caviae	23568
41ANC	HAMBI-1988	Chitinophaga	sancti	2
41ANC	HAMBI-1992	Phyllobacterium	myrsinacearum	439
41ANC	HAMBI-2159	Paraburkholderia	caryophylli	13
41ANC	HAMBI-2160	Bordetella	avium	441
41ANC	HAMBI-2164	Cupriavidus	necator	213
41ANC	HAMBI-2443	Paracoccus	denitrificans	0
41ANC	HAMBI-2467	Thermomonas	haemolytica	1
41ANC	HAMBI-2494	Paraburkholderia	kururiensis	246
41ANC	HAMBI-2659	Stenotrophomonas	maltophilia	1456
41ANC	HAMBI-2792	Moraxella	canis	11
41ANC	HAMBI-3031	Niabella	yanshanensis	122
41ANC	HAMBI-3172	Azospirillum	brasilense	121
41ANC	HAMBI-3237	Microvirga	lotononidis	13
41ANC	JE2571RP4	Escherichia	coli	6
41ANC	PsFluSBW25	Pseudomonas	fluorescens	591
41AYA	HAMBI-0097	Acinetobacter	lwoffii	0
41AYA	HAMBI-0105	Agrobacterium	tumefaciens	3156
41AYA	HAMBI-0216	Azorhizobium	caulinodans	321
41AYA	HAMBI-0262	Brevundimonas	bullata	3
41AYA	HAMBI-0403	Comamonas	testosteroni	131
41AYA	HAMBI-1279	Hafnia	alvei	20
41AYA	HAMBI-1287	Citrobacter	koseri	19676
41AYA	HAMBI-1292	Morganella	morganii	54
41AYA	HAMBI-1299	Kluyvera	intermedia	71
41AYA	HAMBI-1842	Sphingobium	yanoikuyae	0
41AYA	HAMBI-1874	Sphingobacterium	multivorum	184
41AYA	HAMBI-1896	Sphingobacterium	spiritivorum	1068
41AYA	HAMBI-1923	Myroides	odoratus	2520
41AYA	HAMBI-1966	Chitinophaga	filiformis	0
41AYA	HAMBI-1972	Aeromonas	caviae	115
41AYA	HAMBI-1988	Chitinophaga	sancti	0
41AYA	HAMBI-1992	Phyllobacterium	myrsinacearum	67
41AYA	HAMBI-2159	Paraburkholderia	caryophylli	13
41AYA	HAMBI-2160	Bordetella	avium	165
41AYA	HAMBI-2164	Cupriavidus	necator	367
41AYA	HAMBI-2443	Paracoccus	denitrificans	473
